Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.037,44.00,32,24074553674.00,0.068,84.00,270,0.075,0,51,49,0.9,0.417,0.552,0.031,0.513,Africa,Cote d'Ivoire
0.028,37.80,37,1239144502.00,0.087,119.00,82,0.061,0.1,62,59,0.2,0.339,0.623,0.038,0.771,Africa,Djibouti
0.024,43.60,8,236000735704.00,0.049,137.00,433,0.019,0.4,73,68,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
0.036,44.10,135,15715842151.00,0.045,1051.00,492,0.073,0.1,54,51,0.7,0.391,0.58,0.029,0.393,Africa,Equatorial Guinea
0.038,84.50,84,2607739837.00,0.027,12.00,216,0.038,0,64,59,0,0.431,0.548,0.022,0.21,Africa,Eritrea
0.034,30.30,15,31367606700.00,0.041,14.00,198,0.048,0,64,61,0.2,0.439,0.528,0.033,0.177,Africa,Ethiopia
0.032,43.50,57,18796191833.00,0.034,401.00,488,0.042,0.1,64,62,1.5,0.385,0.562,0.053,0.86,Africa,Gabon
0.043,283.20,27,898282866.00,0.047,24.00,376,0.051,0.1,60,57,0.8,0.459,0.516,0.025,0.57,Africa,"Gambia, The"
0.032,33.40,12,39564970070.00,0.053,83.00,224,0.054,0.1,62,60,0.9,0.388,0.577,0.035,0.514,Africa,Ghana
0.038,91.20,40,5067360041.00,0.06,27.00,416,0.069,0,56,55,0.4,0.427,0.542,0.031,0.353,Africa,Guinea
0.038,45.90,9,967762549.00,0.063,35.00,208,0.082,0,55,52,0.5,0.417,0.553,0.029,0.461,Africa,Guinea-Bissau
0.036,49.30,33,34313315840.00,0.044,35.00,393,0.05,0.3,62,59,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
0.028,16.00,40,2487352968.00,0.117,146.00,324,0.073,0,48,48,0.6,0.372,0.586,0.042,0.253,Africa,Lesotho
0.037,42.90,6,1537753885.00,0.156,59.00,158,0.058,0,61,59,0.5,0.432,0.537,0.031,0.482,Africa,Liberia
0.022,0.00,,34699395524.00,0.039,211.00,,0.014,0.1,77,73,1.6,0.294,0.659,0.046,0.778,Africa,Libya
0.035,37.10,8,9853981624.00,0.041,19.00,201,0.042,0,65,62,0.4,0.431,0.541,0.028,0.326,Africa,Madagascar
0.04,29.00,39,5627898037.00,0.083,30.00,157,0.049,0,54,54,0.3,0.456,0.512,0.031,0.157,Africa,Malawi
0.048,51.10,8,10647545670.00,0.068,51.00,270,0.081,0,54,54,0.8,0.47,0.502,0.029,0.368,Africa,Mali
0.035,68.20,19,4136083856.00,0.059,51.00,696,0.069,0,63,60,0.9,0.404,0.565,0.031,0.573,Africa,Mauritania
0.011,27.70,6,11252405860.00,0.049,450.00,161,0.013,0.4,77,70,1,0.206,0.713,0.08,0.404,Africa,Mauritius
0.022,49.60,12,99211339029.00,0.063,195.00,238,0.028,0.5,72,69,1.1,0.279,0.671,0.05,0.582,Africa,Morocco
0.04,37.50,13,12547888400.00,0.064,33.00,230,0.068,0,50,49,0.3,0.454,0.514,0.032,0.312,Africa,Mozambique
0.027,21.80,66,12451760766.00,0.086,486.00,339,0.036,0.1,66,61,1,0.371,0.594,0.035,0.426,Africa,Namibia
0.05,43.80,17,6411842066.00,0.068,25.00,270,0.064,0,58,57,0.3,0.499,0.475,0.026,0.178,Africa,Niger
0.042,32.70,28,411743801712.00,0.057,85.00,938,0.079,0.3,52,51,0.6,0.441,0.531,0.027,0.444,Africa,Nigeria
0.036,31.00,3,6406727020.00,0.11,62.00,148,0.041,0.1,65,61,0.4,0.442,0.535,0.023,0.249,Africa,Rwanda
0.036,32.50,10,248286778.00,0.076,108.00,424,0.039,0.2,68,64,0.6,0.416,0.549,0.035,0.626,Africa,Sao Tome and Principe
0.038,45.50,6,14440676498.00,0.05,54.00,666,0.046,0.2,65,62,0.7,0.436,0.534,0.031,0.425,Africa,Senegal
0.019,32.20,39,1059593023.00,0.036,413.00,76,0.012,0.4,78,68,1.4,0.222,0.702,0.076,0.526,Africa,Seychelles
